id,value
RWF,"Φράγκο Ρουάντας"
DJF,"Φράγκο Τζιμπουτί"
XOF,"Φράγκο CFA Δυτικής Αφρικής (BCEAO)"
XAF,"Φράγκο CFA Κεντρικής Αφρικής (BEAC)"
XPF,"Φράγκο CFP"
CHW,"Φράγκο WIR"
NIO,"Χρυσή Κόρδοβα Νικαράγουας"
XFO,"Χρυσό Φράγκο Γαλλίας"
ARA,"Ωστράλ Αργετινής"
ALK,"Albanian Lek (1946–1965)"
AOR,"Angolan Readjusted Kwanza (1995–1999)"
ARM,"Argentine Peso (1881–1970)"
ARL,"Argentine Peso Ley (1970–1983)"
BOL,"Bolivian Boliviano (1863–1963)"
BAN,"Bosnia-Herzegovina New Dinar (1994–1997)"
BRZ,"Brazilian Cruzeiro (1942–1967)"
BGO,"Bulgarian Lev (1879–1952)"
BGM,"Bulgarian Socialist Lev"
CLE,"Chilean Escudo"
CNX,"Chinese People’s Bank Dollar"
COU,"Colombian Real Value Unit"
ECV,"Ecuadorian Unit of Constant Value"
MKN,"Macedonian Denar (1992–1993)"
MVP,"Maldivian Rupee (1947–1981)"
MXV,"Mexican Investment Unit"
MDC,"Moldovan Cupon"
MCF,"Monegasque Franc"
XRE,"RINET Funds"
KRH,"South Korean Hwan (1953–1962)"
KRO,"South Korean Won (1945–1953)"
XFU,"UIC-Φράγκο Γαλλίας"
UYI,"Uruguayan Peso (Indexed Units)"
VNN,"Vietnamese Dong (1978–1985)"
YUR,"Yugoslavian Reformed Dinar (1992–1993)"
ZWR,"Zimbabwean Dollar (2008)"
